id,Longitud,Latitud,2026_011,2026_012,2026_013,2026_010,2026_021,2026_022,2026_023,2026_020,2026_031,2026_032,2026_033,2026_030,2026_041,2026_042
27,-56.33349999785423,-34.666499972343445,20.534767150878903,44.024810791015625,29.49544334411621,31.29179573059082,20.01007461547852,14.03372573852539,31.64870834350586,21.20098876953125,30.551591873168945,26.56548309326172,48.371360778808594,35.58889389038086,70.36125183105469,73.65878295898438
28,-56.0,-34.666499972343445,17.41193389892578,51.98463439941406,35.73419952392578,35.06586837768555,23.41619873046875,15.379361152648926,18.9019718170166,19.25612068176269,16.099037170410156,13.684804916381836,34.563018798828125,21.87198829650879,68.18734741210938,78.75568389892578
29,-56.0,-34.333500027656555,21.719953536987305,56.013893127441406,35.92970275878906,37.824684143066406,22.88137626647949,16.86094856262207,17.819211959838867,19.28489112854004,25.305055618286133,28.25098991394043,53.5298957824707,36.27062225341797,76.92046356201172,93.92481231689452
30,-55.66650000214577,-34.333500027656555,19.48892593383789,46.17594909667969,27.80906867980957,31.049951553344727,17.351516723632812,16.45319938659668,17.66763687133789,17.121009826660156,33.550025939941406,43.094512939453125,77.20194244384766,52.118282318115234,95.82467651367188,97.65491485595705
31,-55.66650000214577,-34.666499972343445,12.96543312072754,55.53131103515625,35.374691009521484,34.648033142089844,20.81315422058105,12.14557647705078,8.020262718200684,14.06247901916504,7.995658397674561,15.005645751953123,58.52210998535156,28.185686111450195,94.1430435180664,96.46392059326172
32,-55.33349999785423,-34.666499972343445,12.295340538024902,42.77079391479492,21.93961524963379,25.54829406738281,11.209402084350586,6.690951824188232,6.126308917999268,8.143357276916504,17.01126480102539,32.33477783203125,80.7505111694336,44.57148361206055,95.4459457397461,96.40860748291016
33,-57.33350002765656,-33.00000002980232,19.42636680603028,32.3553352355957,16.46477699279785,22.54611587524414,8.733065605163574,21.91058158874512,26.65447998046875,18.55972671508789,19.2407169342041,17.537464141845703,84.97420501708984,42.01606750488281,96.15642547607422,92.937744140625
34,-58.33350002765656,-32.33349999785423,41.496700286865234,47.131614685058594,32.72748947143555,40.2027587890625,22.968435287475582,45.52346420288086,49.668601989746094,38.65242385864258,43.39313888549805,40.24389266967773,79.06485748291016,55.03496170043945,92.89498901367188,96.93984985351562
35,-58.0,-32.66650000214577,31.021482467651367,37.67906188964844,23.134899139404297,30.37062263488769,14.533390998840332,43.16705703735352,46.14012908935547,33.79019546508789,35.67824935913086,28.682647705078125,71.82466125488281,46.24774932861328,87.68330383300781,94.82312774658205
36,-57.666499972343445,-32.66650000214577,30.50497055053711,34.29717254638672,21.796693801879883,28.638227462768555,14.146166801452637,39.62384033203125,40.15777206420898,30.677223205566406,31.30307388305664,26.36104202270508,59.00331115722656,39.53798675537109,78.0256576538086,94.12936401367188
